사아, 93, 184
사차, 76, 148
하아, 73, 192
차나, 84, 150
나다, 50, 177
다나, 60, 165
마사, 59, 183
아파, 63, 186
마다, 80, 172
파가, 63, 144
자파, 48, 165
카사, 61, 172
사타, 79, 160
가다, 92, 140
라바, 76, 155
가파, 93, 197
차아, 89, 164
마차, 69, 144
다바, 80, 168
카카, 79, 175
하마, 48, 193
카자, 59, 184
다나, 99, 140
마파, 71, 199
다나, 87, 186
가라, 70, 157
자나, 60, 196
하차, 77, 163
카사, 71, 152
파자, 87, 162
하나, 51, 154
나사, 79, 155
파마, 86, 154
타타, 72, 140
카카, 96, 188
카라, 57, 146
아카, 90, 166
사사, 50, 157
차파, 41, 180
자가, 75, 182
나차, 98, 141
하사, 80, 186
다마, 80, 187
라마, 64, 143
하마, 92, 189
마카, 83, 172
라라, 53, 143
파바, 98, 173
자마, 74, 181
사하, 50, 142
나나, 68, 147
나사, 44, 167
사나, 78, 177
사자, 60, 154
하자, 78, 197
차아, 49, 168
마다, 50, 193
타차, 42, 149
나가, 98, 196
아차, 68, 190
파타, 99, 146
사아, 52, 153
타마, 96, 180
카타, 46, 175
가가, 61, 170
아카, 79, 194
라마, 60, 165
바마, 76, 151
사라, 96, 154
차자, 99, 195
나다, 47, 178
하파, 67, 196
차자, 52, 146
하바, 53, 174
라마, 64, 177
라차, 76, 154
바파, 89, 166
마가, 95, 189
마라, 44, 150
라나, 42, 141
마하, 65, 179
카자, 67, 140
라아, 48, 191
파나, 83, 161
하카, 42, 166
마마, 80, 182
마아, 95, 179
다자, 49, 181
아나, 52, 191
나다, 55, 143
다차, 78, 151
다하, 65, 157
타바, 47, 145
아바, 99, 183
바마, 82, 150
자차, 67, 152
아바, 97, 185
파나, 67, 162
차파, 45, 162
나차, 69, 140
마아, 40, 164
라카, 89, 145
파카, 53, 160
가파, 42, 192
파차, 41, 181
사차, 57, 175
라바, 89, 180
하다, 92, 148
사카, 44, 154
다자, 60, 162
라가, 77, 173
라사, 61, 185
라라, 41, 150
차바, 57, 145
카타, 48, 157
가나, 42, 148
하마, 76, 176
라카, 97, 168
사라, 46, 158
타카, 76, 191
바차, 51, 191
타자, 44, 192
파파, 95, 182
아하, 91, 146
자라, 78, 176
카타, 52, 164
차하, 96, 146
카가, 47, 183
아마, 82, 150
마나, 71, 199
타다, 91, 165
나다, 48, 160
아자, 82, 170
파아, 97, 182
가다, 85, 185
바라, 74, 141
하타, 91, 149
마하, 52, 164
라사, 76, 186
아아, 89, 147
자자, 43, 154
하카, 63, 167
나다, 73, 141
차자, 58, 178
타자, 93, 162
아다, 55, 141
사가, 98, 142
바타, 62, 162
하아, 55, 149
사다, 74, 157
가바, 95, 165
바하, 84, 181
자나, 85, 195
라사, 69, 181
라바, 84, 196
가나, 57, 144
아자, 65, 176
나마, 71, 147
아가, 49, 186
가바, 40, 191
마라, 85, 157
하하, 64, 147
바차, 82, 143
하파, 73, 153
자차, 40, 162
차파, 92, 148
마다, 76, 168
타라, 77, 174
카하, 76, 174
타타, 52, 176
마다, 89, 144
차카, 40, 141
차카, 68, 195
마나, 67, 174
하파, 47, 197
다자, 67, 190
하차, 89, 173
바다, 79, 152
가라, 42, 198
사사, 74, 191
다가, 50, 163
차바, 64, 161
가가, 67, 166
사라, 64, 187
라타, 87, 185
하하, 56, 187
다라, 51, 186
타가, 88, 140
나다, 81, 181
아카, 57, 182
차아, 71, 173
바타, 90, 158
자카, 53, 149
다타, 97, 156
타차, 43, 157
나다, 59, 166
라가, 41, 155
라카, 60, 186
바아, 64, 174
하하, 54, 148
마사, 95, 178
가차, 53, 182
자자, 84, 180
파나, 55, 162
라라, 69, 183
아라, 58, 194
타하, 79, 166
하가, 52, 190
파파, 94, 158
가타, 44, 158
하차, 97, 197
카라, 93, 146
바바, 48, 156
카사, 77, 145
카카, 94, 192
차나, 99, 177
나마, 69, 143
자사, 41, 179
라나, 78, 162
타타, 65, 141
파자, 49, 153
라사, 64, 161
차가, 46, 159
자차, 50, 147
차하, 90, 173
차아, 93, 155
마타, 91, 143
차나, 77, 156
가자, 45, 150
하차, 83, 196
라가, 41, 162
마다, 49, 170
타라, 81, 144
자아, 99, 189
하파, 73, 166
타차, 95, 184
사차, 83, 174
나나, 67, 190
자자, 88, 189
사차, 69, 144
바차, 94, 150
차바, 82, 156
다마, 78, 163
나자, 60, 159
타바, 84, 155
마아, 63, 196
사가, 57, 147
자자, 55, 183
파아, 73, 142
자사, 40, 174
다나, 62, 161
파파, 64, 161
사나, 82, 158
가하, 56, 189
가차, 73, 150
사나, 44, 168
하자, 99, 191
카파, 98, 141
하차, 59, 169
자바, 69, 184
나아, 79, 158
파사, 96, 162
가차, 64, 183
타가, 83, 191
타자, 99, 190
차파, 80, 192
타나, 82, 156
사아, 43, 147
하라, 67, 140
바마, 55, 189
자아, 56, 188
가차, 71, 195
자다, 55, 154
아나, 78, 193
다파, 71, 163
차다, 75, 183
타아, 83, 183
라차, 70, 176
가마, 99, 181
나파, 50, 189
하가, 45, 177
카사, 45, 185
나타, 52, 141
가라, 95, 191
가다, 54, 179
차차, 67, 171
나라, 40, 151
마마, 67, 164
가나, 64, 170
사하, 70, 169
자하, 55, 184
마아, 71, 167
타다, 47, 193
마가, 75, 161
아아, 79, 184
사라, 74, 172
라차, 67, 168
사마, 65, 170
하나, 49, 154
바나, 52, 198
카바, 87, 160
카카, 64, 194
사파, 68, 178
바파, 47, 195
자라, 71, 187
파라, 91, 182
자사, 46, 188
아차, 94, 183
타자, 63, 195
아나, 61, 177
아가, 71, 151
카하, 89, 184
아나, 53, 158
자차, 70, 161
카차, 74, 163
자라, 54, 152
나하, 73, 166
자마, 45, 147
하타, 81, 165
차타, 43, 194
하사, 49, 178
라타, 73, 184
하자, 80, 170
자차, 86, 161
나마, 64, 146
아타, 91, 149
카가, 45, 166
하바, 65, 199
라사, 84, 142
나라, 74, 155
라라, 60, 185
사사, 62, 183
타가, 59, 171
타아, 46, 191
바마, 47, 191
가사, 97, 143
라카, 49, 158
타마, 74, 192
카바, 58, 178
사라, 50, 162
라바, 50, 198
차사, 62, 190
다다, 48, 196
가타, 84, 171
타사, 99, 181
아차, 59, 147
아하, 43, 196
다아, 81, 165
하카, 57, 159
하카, 76, 178
나다, 94, 170
자타, 87, 194
다라, 80, 154
카라, 60, 170
라라, 40, 167
파자, 67, 143
라가, 42, 177
나마, 62, 164
바다, 55, 145
마가, 52, 170
카파, 60, 162
가마, 97, 163
다라, 90, 157
나라, 97, 156
사자, 45, 172
타카, 89, 140
마아, 61, 172
차자, 46, 169
사아, 86, 159
하나, 49, 146
바카, 62, 183
다바, 45, 177
라다, 63, 157
파나, 87, 193
아카, 80, 188
가사, 94, 150
하가, 63, 158
마바, 59, 144
하마, 92, 164
마파, 63, 156
아라, 49, 191
아가, 63, 155
카바, 94, 151
마타, 66, 186
자파, 70, 180
카차, 63, 181
자파, 40, 174
가차, 82, 176
자자, 77, 155
나하, 73, 179
라바, 89, 159
차하, 86, 158
마나, 62, 164
마사, 47, 192
자차, 66, 156
아가, 59, 147
카마, 70, 180
파마, 69, 178
파가, 77, 167
타사, 48, 145
다가, 94, 168
타바, 82, 170
바하, 80, 143
마가, 47, 194
자나, 68, 167
카라, 77, 171
바자, 84, 154
파가, 76, 191
카파, 67, 160
다라, 46, 160
나사, 51, 148
나차, 77, 184
자가, 67, 150
가카, 91, 151
가차, 81, 184
다카, 66, 162
파마, 81, 148
자다, 71, 177
바아, 43, 167
나차, 63, 157
나하, 65, 198
파파, 58, 188
자바, 40, 167
타사, 92, 160
타나, 54, 186
다바, 84, 191
다파, 99, 194
차바, 66, 176
카차, 88, 177
파차, 95, 164
나마, 50, 184
자카, 86, 182
타자, 65, 154
다아, 43, 164
가타, 90, 187
카마, 46, 165
카라, 64, 177
파카, 96, 181
나아, 60, 187
나바, 98, 144
다바, 77, 199
카다, 41, 199
바나, 49, 195
카자, 97, 142
바자, 88, 178
라아, 46, 166
카파, 90, 182
타자, 77, 198
차가, 65, 174
사나, 82, 163
아나, 45, 187
바카, 41, 174
카사, 76, 154
아타, 67, 153
차아, 45, 154
타카, 53, 163
타차, 53, 153
사타, 93, 154
사파, 90, 186
가하, 74, 146
아사, 92, 180
카자, 62, 192
아마, 56, 170
나아, 40, 144
아자, 94, 174
카라, 58, 147
사타, 99, 197
차사, 96, 144
가마, 61, 191
마차, 52, 178
하타, 62, 179
타파, 69, 193
자타, 82, 151
차파, 86, 164
차나, 46, 160
파파, 76, 183
라아, 84, 169
타사, 94, 195
하마, 69, 147
가마, 81, 148
나가, 40, 154
마나, 79, 167
차하, 55, 170
차파, 63, 141
나자, 48, 140
라하, 56, 167
마자, 64, 190
아가, 64, 188
바가, 87, 164
아마, 99, 177
아차, 64, 188
자파, 43, 149
차다, 68, 186
라사, 75, 188
다다, 52, 165
바타, 67, 171
아자, 75, 183
자카, 57, 185
나마, 82, 163
차파, 63, 186
사사, 53, 195
차마, 75, 168
바파, 79, 156
아다, 70, 186
마라, 61, 179
마가, 72, 142
사하, 61, 166
바가, 73, 186
하라, 78, 195
라다, 86, 179
차라, 64, 163
사파, 84, 168
나다, 79, 161
다사, 78, 168
사가, 64, 181
카다, 70, 155
다파, 88, 183
